from,to,link,type,
Dongdaemun history museum,Unhyeongung Royal Residence,,his3_2,https://maps.app.goo.gl/LaDveyV4rNU6Xhu37
Unhyeongung Royal Residence,Mondrian Seoul Itaewon,,his3_3,
Mondrian Seoul Itaewon,Cheonggyecheon,,his4_1,https://maps.app.goo.gl/jLkqy6epDM5xNdGV8
Cheonggyecheon,Arario Museum,,his4_2,https://maps.app.goo.gl/QtcRdQ9R8zQhkD4ZA
Arario Museum,Mondrian Seoul Itaewon,,his4_3,
Mondrian Seoul Itaewon,Blue House,,his5_1,https://maps.app.goo.gl/QQFVccJ24ScFt1oY9
Blue House,Incheon Airport,,his5_2,
Incheon Airport,Mondrian Seoul Itaewon,,shop1_1,
Mondrian Seoul Itaewon,Apgujeong,,shop1_2,
Apgujeong, Garosu-gil,,shop1_3,
 Garosu-gil,Mondrian Seoul Itaewon,,shop1_3,
Mondrian Seoul Itaewon,Myeong-dong,,shop2_1,
Myeong-dong,Namdaemun Market,,shop2_2,
Namdaemun Market,Mondrian Seoul Itaewon,,shop2_3,
Mondrian Seoul Itaewon,Dongdaemun,,shop3_1,
Dongdaemun,Dongmyo Flea Market,,shop3_2,
Dongmyo Flea Market,Mondrian Seoul Itaewon,,shop3_3,
Mondrian Seoul Itaewon,Hannam-dong,,shop4_1,
Hannam-dong,Itaewon,,shop4_2,
Itaewon,Mondrian Seoul Itaewon,,shop4_3,
Mondrian Seoul Itaewon,Gotomall Underground Shopping Mall,,shop5_1,
Gotomall Underground Shopping Mall,Incheon Airport,,shop5_2,
